Observação	Renda (R$)
1	2.893,70
2	3.448,38
3	1.460,81
4	2.223,70
5	2.500,70
6	1.100,25
7	3.560,10
8	5.510,76
9	2.900,90
10	10.127,50
11	1.855,00
12	3.160,50
13	8.630,00
14	6.200,73
15	4.129,99
16	2.735,60
17	4.448,00
18	2.150,20
19	4.595,10
20	5.560,60
21	2.800,00
22	9.538,33
23	2.000,00
24	3.225,74
25	1.900,25
26	7.664,72
27	3.890,00
28	6.589,90
29	1.240,50
30	1.720,20
31	2.555,60
32	4.730,00
33	4.745,40
34	8.550,00
35	3.860,10
36	11.320,00
37	6.125,00
38	5.605,75
39	3.250,00
40	1.500,00
41	9.215,55
42	4.999,20
43	3.900,00
44	7.000,20
45	3.508,37
46	1.130,00
47	4.120,60
48	2.600,50
49	2.900,77
50	4.870,60
